p01,645.0954549286082
p01,517.3858847656529
p01,718.1926360386501
p01,1514.6987162974992
p01,875.8896760073565
p01,1248.4695907000098
p01,1047.9952010981992
p01,6955.918379516805
p01,6670.135751457361
p10,6241.844841196253
p11,5673.783257004674
p12,1529.5902975908689
p13,1450.624814759433
p14,1425.1695206498598
p15,3469.4143514228344
p16,3413.8582051321923
p17,3331.1184889255974
p18,5898.68990498803
p19,5604.987755817814
p20,5449.510880864887
p21,10012.317137944483
p22,9728.953660465031
p23,9216.078974040582
